"Path","Ext","Size","Lines"
".env.example",".example","1215","46"
"backend\.env.template",".template","825","30"
"backend\appspec.yml",".yml","321","18"
"backend\assign-category.js",".js","1225","30"
"backend\check-assigned-tasks.js",".js","1489","36"
"backend\check-dupes.js",".js","1644","38"
"backend\check-just-education.js",".js","2825","67"
"backend\check-prince-saini.js",".js","4697","105"
"backend\check-projects.js",".js","1734","43"
"backend\check-specific-projects.js",".js","2845","66"
"backend\check-statuses.js",".js","1651","42"
"backend\check-task-assignees.js",".js","964","23"
"backend\check-team-ids.js",".js","2397","54"
"backend\check-time-logs.js",".js","937","24"
"backend\cleanup.js",".js","1535","55"
"backend\cleanup-dupes.js",".js","2111","55"
"backend\cleanup-duplicate-teams.js",".js","2386","54"
"backend\complete-cleanup.js",".js","2333","68"
"backend\debug-categories.js",".js","1756","40"
"backend\debug-fav-2.js",".js","1806","36"
"backend\debug-favorites.js",".js","2354","31"
"backend\debug-home-projects.js",".js","2171","47"
"backend\debug-reporting-users.js",".js","2448","53"
"backend\debug-tasks.js",".js","2994","61"
"backend\debug-teams.js",".js","1784","42"
"backend\diagnose-id.js",".js","1220","25"
"backend\diagnose-time-reports.js",".js","5119","103"
"backend\Dockerfile","","595","19"
"backend\dump-keys.js",".js","641","16"
"backend\dump-one-task.js",".js","827","17"
"backend\find-all-data.js",".js","2654","61"
"backend\fix-admin.js",".js","2077","61"
"backend\fix-all-categories.js",".js","1292","33"
"backend\fix-duplicate-teams.js",".js","1522","42"
"backend\fix-project-members.js",".js","1691","42"
"backend\fix-task-date.js",".js","954","25"
"backend\fix-task-statuses.js",".js","2776","72"
"backend\force-cleanup.js",".js","1706","48"
"backend\get-project-id.js",".js","456","14"
"backend\inspect-task.js",".js","629","20"
"backend\just-edu-output.txt",".txt","627","14"
"backend\list-projects.js",".js","438","11"
"backend\manual-toggle.js",".js","1582","36"
"backend\nodemon.json",".json","239","14"
"backend\output.txt",".txt","3718","58"
"backend\package.json",".json","6247","170"
"backend\package-lock.json",".json","619330","16228"
"backend\populate-reporting-data.js",".js","2641","63"
"backend\populate-time-logs.js",".js","2029","49"
"backend\prince-output.txt",".txt","2662","41"
"backend\quick-check.js",".js","976","27"
"backend\quick-test.js",".js","2148","47"
"backend\README.md",".md","495","23"
"backend\server.js",".js","2271","57"
"backend\sim-favorites.js",".js","3620","73"
"backend\src-new\.env.example",".example","726","26"
"backend\src-new\app.js",".js","3843","122"
"backend\src-new\config\constants.js",".js","1161","45"
"backend\src-new\config\db.js",".js","2420","66"
"backend\src-new\config\socket-events.js",".js","2056","70"
"backend\src-new\controllers\auth.controller.js",".js","9856","345"
"backend\src-new\controllers\custom-columns.controller.js",".js","4830","115"
"backend\src-new\controllers\index.js",".js","437","11"
"backend\src-new\controllers\project-insights.controller.js",".js","19492","512"
"backend\src-new\controllers\project-members.controller.js",".js","7865","231"
"backend\src-new\controllers\projects.controller.js",".js","41579","1149"
"backend\src-new\controllers\projects-role.controller.js",".js","1547","60"
"backend\src-new\controllers\project-templates.controller.js",".js","929","42"
"backend\src-new\controllers\reporting.controller.js",".js","31936","800"
"backend\src-new\controllers\settings.controller.js",".js","3706","110"
"backend\src-new\controllers\surveys.controller.js",".js","1308","59"
"backend\src-new\controllers\task-phases.controller.js",".js","657","19"
"backend\src-new\controllers\tasks.controller.js",".js","30231","906"
"backend\src-new\controllers\teams.controller.js",".js","11930","430"
"backend\src-new\controllers\users.controller.js",".js","3069","139"
"backend\src-new\middlewares\auth.middleware.js",".js","2701","109"
"backend\src-new\middlewares\error.middleware.js",".js","1282","48"
"backend\src-new\middlewares\project-role.middleware.js",".js","2829","91"
"backend\src-new\middlewares\validation.middleware.js",".js","3265","123"
"backend\src-new\models\ActivityLog.js",".js","1377","51"
"backend\src-new\models\Client.js",".js","546","26"
"backend\src-new\models\CustomColumn.js",".js","1139","44"
"backend\src-new\models\index.js",".js","891","24"
"backend\src-new\models\Notification.js",".js","928","38"
"backend\src-new\models\PersonalTask.js",".js","782","30"
"backend\src-new\models\Project.js",".js","2806","142"
"backend\src-new\models\ProjectCategory.js",".js","566","25"
"backend\src-new\models\ProjectComment.js",".js","690","26"
"backend\src-new\models\ProjectInvitation.js",".js","1316","49"
"backend\src-new\models\ProjectMember.js",".js","1124","46"
"backend\src-new\models\RunningTimer.js",".js","716","29"
"backend\src-new\models\Task.js",".js","2172","99"
"backend\src-new\models\TaskAttachment.js",".js","758","35"
"backend\src-new\models\TaskComment.js",".js","669","26"
"backend\src-new\models\TaskLabel.js",".js","685","24"
"backend\src-new\models\TaskPhase.js",".js","636","26"
"backend\src-new\models\TaskStatus.js",".js","944","39"
"backend\src-new\models\Team.js",".js","736","29"
"backend\src-new\models\TeamMember.js",".js","942","41"
"backend\src-new\models\TimeLog.js",".js","684","29"
"backend\src-new\models\User.js",".js","2243","83"
"backend\src-new\package.json",".json","1623","59"
"backend\src-new\routes\activity-logs.routes.js",".js","1988","50"
"backend\src-new\routes\admin-center.routes.js",".js","2083","65"
"backend\src-new\routes\attachments.routes.js",".js","5152","130"
"backend\src-new\routes\auth.routes.js",".js","764","18"
"backend\src-new\routes\clients.routes.js",".js","2121","64"
"backend\src-new\routes\debug.routes.js",".js","2544","83"
"backend\src-new\routes\home.routes.js",".js","10546","317"
"backend\src-new\routes\index.js",".js","3918","79"
"backend\src-new\routes\job-titles.routes.js",".js","935","31"
"backend\src-new\routes\labels.routes.js",".js","1793","52"
"backend\src-new\routes\logs.routes.js",".js","3773","98"
"backend\src-new\routes\notifications.routes.js",".js","3427","91"
"backend\src-new\routes\project-categories.routes.js",".js","3006","84"
"backend\src-new\routes\project-comments.routes.js",".js","3302","81"
"backend\src-new\routes\project-healths.routes.js",".js","815","22"
"backend\src-new\routes\project-insights.routes.js",".js","1492","20"
"backend\src-new\routes\project-managers.routes.js",".js","813","23"
"backend\src-new\routes\project-members.routes.js",".js","1063","15"
"backend\src-new\routes\projects.routes.js",".js","2446","37"
"backend\src-new\routes\project-statuses.routes.js",".js","4048","105"
"backend\src-new\routes\project-templates.routes.js",".js","457","8"
"backend\src-new\routes\reporting.routes.js",".js","1092","18"
"backend\src-new\routes\settings.routes.js",".js","692","21"
"backend\src-new\routes\surveys.routes.js",".js","454","9"
"backend\src-new\routes\task-comments.routes.js",".js","5248","126"
"backend\src-new\routes\task-phases.routes.js",".js","296","7"
"backend\src-new\routes\task-priorities.routes.js",".js","800","22"
"backend\src-new\routes\tasks.routes.js",".js","1579","27"
"backend\src-new\routes\task-time-logs.routes.js",".js","6650","161"
"backend\src-new\routes\team-members.routes.js",".js","8081","209"
"backend\src-new\routes\teams.routes.js",".js","1456","32"
"backend\src-new\routes\time-logs.routes.js",".js","3230","87"
"backend\src-new\routes\users.routes.js",".js","506","12"
"backend\src-new\routes\v1.routes.js",".js","754","14"
"backend\src-new\server.js",".js","2110","54"
"backend\src-new\services\email.service.js",".js","1868","42"
"backend\src-new\sockets\index.js",".js","29791","747"
"backend\src-new\utils\helpers.js",".js","1741","74"
"backend\src-new\utils\index.js",".js","125","5"
"backend\src-new\utils\logger.js",".js","1085","35"
"backend\src-new\utils\response.js",".js","688","36"
"backend\teams_debug.txt",".txt","431","9"
"backend\test-allocation-logic.js",".js","4488","93"
"backend\test-login.js",".js","1721","51"
"backend\test-simple.js",".js","1721","35"
"backend\test-time-reports.js",".js","4080","97"
"backend\test-visibility.js",".js","4224","89"
"backend\update-timelogs-date.js",".js","1942","51"
